name,id,planetary,decivRemove,script,desc,icon,order
Décivilisé,decivilized,,,com.fs.starfarer.api.impl.campaign.econ.Decivilized,"Il n’y a pas de régime politique stable ici. La civilisation s'est effondrée et la population actuelle est effectivement inconnue, bien que des groupes de survivants, de bandits et de pilleurs puissent être détectés.",graphics/icons/markets/decivilized.png,130
Sous-population décivilisée,decivilized_subpop,,,com.fs.starfarer.api.impl.campaign.econ.DecivilizedSubpop,"La civilisation a été ramenée dans certaines parties du marché, souvent à la pointe d'un fusil Gauss. Cependant, une population effectivement inconnue de survivants, de bandits et de pilleurs reste toujours en marge.",graphics/icons/markets/decivilized.png,130
Gare abandonnée,abandoned_station,,TRUE,com.fs.starfarer.api.impl.campaign.econ.AbandonedStation,Cette gare est abandonnée.,graphics/icons/markets/abandoned.png,130
Industrie artisanale,cottage_industry,,TRUE,com.fs.starfarer.api.impl.campaign.econ.CottageIndustry,"Le marché dispose d'une base substantielle d'industries légères à faible technologie et à forte intensité de main-d'œuvre. Augmente la demande de combustibles et de matériaux organiques simples, fournit un approvisionnement inefficace, bien que joliment fabriqué à la main, de produits nationaux.",graphics/icons/markets/cottage_industry.png,230
Avant-poste,outpost,,TRUE,com.fs.starfarer.api.impl.campaign.econ.Outpost,"$market est géré un peu comme une garnison ou un grand vaisseau spatial, avec une structure de commandement officielle rigide. Cela améliore la stabilité, mais nécessite que certains membres du personnel s'occupent des questions de sécurité intérieure.",graphics/icons/markets/outpost.png,130
Majorité ludique,luddic_majority,,TRUE,com.fs.starfarer.api.impl.campaign.econ.LuddicMajority,,graphics/icons/markets/luddic_majority.png,142
Champs de mines furtifs,stealth_minefields,,TRUE,com.fs.starfarer.api.impl.campaign.econ.StealthMinefields,Un réseau de mines cachées assure la sécurité du marché contre les étrangers intrusifs. Améliore la stabilité.,graphics/icons/markets/stealth_mines.png,510
Capitale régionale,regional_capital,,TRUE,com.fs.starfarer.api.impl.campaign.econ.RegionalCapital,"Un centre majeur d’administration, de sécurité et de logistique. Améliore la stabilité.",graphics/icons/markets/capital.png,500
Port franc,free_market,,TRUE,com.fs.starfarer.api.impl.campaign.econ.FreeMarket,"L'autorité portuaire locale n'impose pratiquement aucune réglementation sur les marchandises échangées. Les contrôles d'immigration sont également assouplis, ce qui entraîne un afflux de personnes plus important, quoique parfois de caractère plus discutable. Cela pourrait amener d’autres factions à considérer cette colonie avec méfiance.",graphics/icons/markets/free_port.png,141
Fermé Immigration,closed_immigration,,TRUE,com.fs.starfarer.api.impl.campaign.econ.ClosedImmigration,"Officiellement, l'immigration vers le marché $ n'est pas autorisée. Dans la pratique, cela a pour conséquence de ralentir considérablement l’immigration globale et de laisser la possibilité à certains types de criminels d’opérer.",graphics/icons/markets/vice_demand.png,142
,,,,,,,
Monde inhabitable,uninhabitable,TRUE,,com.fs.starfarer.api.impl.campaign.econ.WorldUninhabitable,"Planète stérile, la surface de $market ne peut pas supporter la vie organique telle que nous la connaissons, et l'agriculture est impossible en dehors des écosystèmes artificiels fermés.",graphics/icons/markets/uninhabitable_wide.png,10
Monde de glace,ice,TRUE,,com.fs.starfarer.api.impl.campaign.econ.WorldIce,La température moyenne du marché est bien en dessous du point de congélation de l'eau et certains gaz atmosphériques terrestres courants tombent sous forme de neige. Les dérives et les glaciers d'éléments légers et volatils peuvent être récoltés.,graphics/icons/markets/ice_world_wide.png,10
Monde désertique,desert,TRUE,,com.fs.starfarer.api.impl.campaign.econ.WorldDesert,$market : planète désertique. Une biosphère xérophile maintient une atmosphère respirable avec seulement un masque léger. L'agriculture est presque impossible.,graphics/icons/markets/desert_world_wide.png,10
Monde aride,arid,TRUE,,com.fs.starfarer.api.impl.campaign.econ.WorldArid,Le marché est couvert de vastes plaines et de déserts arides. L'eau est rare et l'agriculture à grande échelle est difficile.,graphics/icons/markets/arid_world_wide.png,10
Monde de l'eau,water,TRUE,,com.fs.starfarer.api.impl.campaign.econ.WorldWater,"Le climat du marché est hospitalier, mais l'agriculture se limite en grande partie à l'aquaculture et des infrastructures hautement spécialisées sont nécessaires à tout développement d'habitats et d'industrie.",graphics/icons/markets/water_world_wide.png,10
Monde de la jungle,jungle,TRUE,,com.fs.starfarer.api.impl.campaign.econ.WorldJungle,"$market est un monde de jungle humide et chaude, couvert d'une végétation tumultueuse et de formes de vie exotiques, ce qui rend difficile l'agriculture et le maintien d'infrastructures permanentes.",graphics/icons/markets/jungle_world_wide.png,10
Monde Terrien,terran,TRUE,,com.fs.starfarer.api.impl.campaign.econ.WorldTerran,"Le marché est aussi proche de l'état de la Vieille Terre que l'on peut trouver dans le secteur, offrant des conditions idéales pour l'agriculture et la colonisation.",graphics/icons/markets/terran_world_wide.png,10
Un monde stérile et marginal,barren_marginal,TRUE,,com.fs.starfarer.api.impl.campaign.econ.WorldBarrenMarginal,"Inhospitalières et impitoyables, les conditions extérieures du marché permettent à peine à un humain muni d'un masque à air et d'un équipement de protection de survivre, bien que certains lichens terraformateurs artificiels les trouvent suffisamment tolérables.",graphics/icons/markets/barren_desert_wide.png,10
Monde crépusculaire,twilight,TRUE,,com.fs.starfarer.api.impl.campaign.econ.WorldTwilight,"Verrouillé par les marées sur son marché principal, ou assez proche, $market est un monde terraformé avec des jours aussi longs que des saisons. Les variations de température jour/nuit sont donc sévères, même pour la vie humaine. Les îlots de biomes doux « civilisés » sont préservés grâce à une utilisation judicieuse de stores et de miroirs solaires. ",graphics/icons/markets/twilight_terran_world.png,10
Monde de la toundra,tundra,TRUE,,com.fs.starfarer.api.impl.campaign.econ.WorldTundra,"La terraformation a introduit la vie terrienne sur le marché, mais le monde reste aussi froid que la plus profonde des périodes glaciaires de la Terre. Bien que des millions de kilomètres carrés soient couverts de glaciers, il existe également des provinces de la taïga et des steppes vallonnées où règnent des conditions plus chaudes.",graphics/icons/markets/tundra_terran_wide.png,10
Monde cryovolcanique,cryovolcanic,TRUE,,com.fs.starfarer.api.impl.campaign.econ.WorldUninhabitable,"Un monde gelé au-delà du froid le plus profond, de la neige de méthane tombe sur des montagnes de glace d'eau et des volcans entrent en éruption avec de l'ammoniac. Le rayonnement stellaire décompose les substances volatiles pour former une atmosphère de gaz légers tels que l'azote et l'oxygène, tandis que l'hydrogène est entraîné dans l'espace. ",graphics/icons/markets/cryo_world_wide.png,10
,,,,,,,
Population dissidente,dissident,,TRUE,com.fs.starfarer.api.impl.campaign.econ.Dissident,"$market est un dépotoir pour les dissidents, les rebelles, les libres penseurs, les artistes et autres fauteurs de troubles. Augmente la demande d’armes et de marines pour contrôler la populace. Augmente la disponibilité de l'équipage en raison de l'émigration.",graphics/icons/markets/dissidents.png,139
Quartier général,headquarters,,TRUE,com.fs.starfarer.api.impl.campaign.econ.Headquarters,"$market est un centre de commandement militaire et d’opérations logistiques pour le régime politique au pouvoir. Augmente la stabilité du marché.

Augmente la qualité et le nombre d'officiers dans les flottes de $market.",graphics/icons/markets/headquarters.png,360
Complexe hydroponique,hydroponics_complex,,TRUE,com.fs.starfarer.api.impl.campaign.econ.Hydroponics,"Des installations de production agricole à biosphère scellée qui permettent l’agriculture en orbite ou à la surface de mondes inhospitaliers. Nécessite un équipage pour fonctionner, un milieu de croissance organique et de la machinerie lourde pour l'entretien.",graphics/icons/markets/hydroponics.png,120
,,,,,,,
Population,population_1,,TRUE,com.fs.starfarer.api.impl.campaign.econ.Population,Seules quelques dizaines de personnes vivent ici en permanence.,graphics/icons/markets/population01.png,20
Population,population_2,,TRUE,com.fs.starfarer.api.impl.campaign.econ.Population,Seules des centaines de personnes peuplent $marketName.,graphics/icons/markets/population02.png,20
Population,population_3,,TRUE,com.fs.starfarer.api.impl.campaign.econ.Population,Des milliers de personnes habitent $marketName.,graphics/icons/markets/population03.png,20
Population,population_4,,TRUE,com.fs.starfarer.api.impl.campaign.econ.Population,Des dizaines de milliers de personnes vivent sur $marketName.,graphics/icons/markets/population04.png,20
Population,population_5,,TRUE,com.fs.starfarer.api.impl.campaign.econ.Population,$marketName abrite des centaines de milliers de personnes.,graphics/icons/markets/population05.png,20
Population,population_6,,TRUE,com.fs.starfarer.api.impl.campaign.econ.Population,La population de $marketName se compte en millions.,graphics/icons/markets/population06.png,20
Population,population_7,,TRUE,com.fs.starfarer.api.impl.campaign.econ.Population,$marketName est un monde de dizaines de millions.,graphics/icons/markets/population07.png,20
Population,population_8,,TRUE,com.fs.starfarer.api.impl.campaign.econ.Population,$marketName est l'un des rares mondes du secteur avec une population de centaines de millions d'habitants.,graphics/icons/markets/population08.png,20
Population,population_9,,TRUE,com.fs.starfarer.api.impl.campaign.econ.Population,"Précieux refuge de l’humanité dans une galaxie dangereuse, $marketName abrite des milliards d’âmes.",graphics/icons/markets/population09.png,20
Population,population_10,,TRUE,com.fs.starfarer.api.impl.campaign.econ.Population,"$marketName est un centre de population dominant dans le secteur, un rival de l'Ancienne Terre qui abrite des dizaines de milliards d'humains.",graphics/icons/markets/population10.png,20
,,,,,,,
,,,,,,,
,,,,,,,
# event-related market conditions,,,,,,,
Pénurie alimentaire,event_food_shortage,,TRUE,com.fs.starfarer.api.impl.campaign.econ.FoodShortage,"Il y a un manque temporaire de nourriture disponible sur $market.
- Stabilité réduite de $stabilityPenalty
- Environ $neededFood unités de nourriture nécessaires pour mettre fin à la pénurie
- Les prix des denrées alimentaires ont augmenté en raison de la diminution de l'offre alimentaire
- Augmentation de la réputation et de l'expérience dans la vente de produits alimentaires",graphics/icons/markets/food_shortage.png,1000
Troubles récents,recent_unrest,,TRUE,com.fs.starfarer.api.impl.campaign.econ.RecentUnrest,Le marché $ a récemment connu des événements tumultueux avec un effet persistant sur la stabilité.,graphics/icons/markets/recent_unrest.png,2000
Perturbation du commerce,event_trade_disruption,,TRUE,com.fs.starfarer.api.impl.campaign.econ.TradeDisruption,"Les flottes commerciales à destination ou en provenance du marché subissent des pertes importantes. La piraterie ou la guerre sont les plus susceptibles d'être blâmées.

Les produits suivants sont concernés :
$commodityRésumé",graphics/icons/markets/trade_disruption.png,1100
Contrebande,event_smuggling,,TRUE,com.fs.starfarer.api.impl.campaign.econ.Smuggling,"$market connaît un volume élevé d’activités de contrebande.

- Stabilité réduite de $smugglingPenalty",graphics/icons/markets/smuggling.png,1000
Prime du système,event_bounty,,TRUE,com.fs.starfarer.api.impl.campaign.econ.SystemBounty,,graphics/icons/markets/bounty.png,1000
Rogue AI Core,rogue_ai_core,,TRUE,com.fs.starfarer.api.impl.campaign.econ.RogueAICore,"Il existe un noyau d’IA malveillant opérant sur ou à proximité du marché $. Ses projets et ambitions à long terme, au-delà de sa propre survie, sont inconnus.

Au minimum, la nécessité de se méfier de ses éventuelles actions rend les opérations quotidiennes moins efficaces et crée un terrain fertile pour des rumeurs alarmantes.",graphics/icons/markets/rogue_ai.png,1200
Administrateur AI Core (caché),ai_core_admin,,TRUE,com.fs.starfarer.api.impl.campaign.econ.AICoreAdmin,Condition cachée pour suivre le moment où le noyau devient inamovible. N'a pas besoin d'icône.,graphics/icons/markets/rogue_ai.png,1000
Activité des pirates,pirate_activity,,TRUE,com.fs.starfarer.api.impl.campaign.intel.bases.PirateActivity,"Certains signes indiquent que les pirates ciblent les navires et les colonies dans ce système - depuis les pressions exercées sur les inspecteurs portuaires pour qu'ils ferment les yeux, jusqu'aux incohérences dans les manifestes de cargaison, en passant par d'autres activités criminelles accrues.

Les pirates ont probablement une base quelque part relativement proche.",graphics/icons/markets/pirate_activity.png,1300
Activité hostile,hostile_activity,,TRUE,com.fs.starfarer.api.impl.campaign.intel.events.HostileActivity,,graphics/icons/markets/pirate_activity.png,1350
Répit contre le piratage,piracy_respite,,TRUE,com.fs.starfarer.api.impl.campaign.econ.PiracyRespite,"Cette colonie connaît un répit face aux déprédations de la piraterie, autrement si courantes dans le secteur.",graphics/icons/markets/respite40.png,1375
Bloqué,blockaded,,TRUE,com.fs.starfarer.api.impl.campaign.econ.Blockaded,Le système dans lequel se trouve cette colonie est soumis à un blocus et le commerce régulier souffre de harcèlement ou pire. Les effets se poursuivront jusqu’à ce que la force de blocage parte ou soit complètement vaincue.,graphics/icons/markets/blockade.png,1385
Cellules de chemin ludique,pather_cells,,TRUE,com.fs.starfarer.api.impl.campaign.intel.bases.LuddicPathCells,,graphics/icons/markets/pather_cells.png,1400
,,,,,,,
# stand-alone conditions,,,,,,,
Perturbation du commerce,shipping_disruption,,TRUE,com.fs.starfarer.api.impl.campaign.econ.ShippingDisruption,,graphics/icons/markets/trade_disruption.png,1000
,,,,,,,
# misc,,,,,,,
Relais de communication (caché),comm_relay,,TRUE,com.fs.starfarer.api.impl.campaign.econ.CommRelayCondition,État caché ; n'a pas besoin d'icône.,,
,,,,,,,
,,,,,,,
# procgen conditions,,,,,,,
Habitable,habitable,TRUE,,com.fs.starfarer.api.impl.campaign.econ.Habitable,Les êtres humains peuvent survivre à une exposition sans protection aux conditions de surface du marché.,graphics/icons/markets/habitable.png,21
,,,,,,,
,,,,,,,
Ruines éparses,ruins_scattered,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,"Ce monde n'a été que légèrement touché par le grand projet du Domaine avant l'effondrement. Il ne reste que des dômes dispersés et brisés, contenant peut-être des caches perdues de matériaux précieux.",graphics/icons/markets/ruins_scattered.png,100
Des ruines répandues,ruins_widespread,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,"Des ruines répandues, des échos provenant de sources de rayonnement et des pings radar distinctifs de structures en mousse de céramique peuvent être trouvés sur tout le marché, preuve d'un effort de colonisation modeste mais concerté datant de la fin de la période d'expansion du Domaine.",graphics/icons/markets/ruins_widespread.png,100
De vastes ruines,ruins_extensive,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,"Des villes en ruines peuvent être trouvées à la surface de $market, s'étendant de leurs routes brisées et de leurs lignes de magrail en ruine jusqu'aux squelettes d'usines, de dômes aquaponiques et de tours de communication.",graphics/icons/markets/ruins_extensive.png,100
Vastes ruines,ruins_vast,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,"Le marché est couvert de vastes ruines ; villes, usines, mines, fermes, maisons. Les morts sont en abondance effrayante, mêlés à des matériaux, des biens, des outils et des armes récupérables. Ce monde est le tombeau de l’orgueil du projet de colonisation et d’hégémonie galactique du Domaine. ",graphics/icons/markets/ruins_vast.png,100
,,,,,,,
,,,,,,,
Cold,cold,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,"Les basses températures rencontrées sur le marché nécessitent des équipements spécialisés pour effectuer des opérations normales, ce qui complique le maintien de la vie et les infrastructures.",graphics/icons/markets/cold.png,25
Froid extrême,very_cold,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,"Le froid extrême nécessite un équipement et un protocole spécialisés pour effectuer des opérations en toute sécurité sur le marché, ce qui complique la logistique, le maintien de la vie et les infrastructures.",graphics/icons/markets/cold_extreme.png,25
,,,,,,,
Hot,hot,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,"Les conditions de température élevée du marché nécessitent des équipements spécialisés pour effectuer des opérations normales, ce qui complique le maintien de la vie et les infrastructures.",graphics/icons/markets/hot.png,25
Chaleur extrème,very_hot,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,"La chaleur extrême nécessite un équipement et un protocole spécialisés pour opérer en toute sécurité sur le marché, ce qui complique sérieusement la logistique, le maintien de la vie et la stabilité à long terme des infrastructures.",graphics/icons/markets/hot_extreme.png,25
,,,,,,,
,,,,,,,
Tectonic Activity,tectonic_activity,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,La surface du $market est instable et sujette à de violents tremblements de terre. Toute structure nécessite un renforcement spécial et toute excavation comporte de nombreux risques.,graphics/icons/markets/tectonic.png,26
Extreme Tectonic Activtity,extreme_tectonic_activity,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,La croûte du marché est en proie à des tremblements de terre extrêmes et à des événements volcaniques cataclysmiques. Toute opération nécessitera un soin exceptionnel et l'utilisation de systèmes d'alerte plusieurs fois redondants afin que les pires dangers puissent être évités. La construction sur ce monde ne peut être considérée que comme semi-permanente.,graphics/icons/markets/tectonic_extreme.png,26
,,,,,,,
,,,,,,,
Pas d'ambiance,no_atmosphere,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,"Aucune ambiance appréciable n’existe sur $market. Sa surface est exposée aux dures intempéries de l’espace, à une bruine constante de radiations et de micrométéorites.",graphics/icons/markets/atmosphere_none.png,27
Ambiance mince,thin_atmosphere,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,Une atmosphère raréfiée s'accroche avec détermination à la surface du $market.,graphics/icons/markets/atmosphere_thin.png,27
Atmosphère toxique,toxic_atmosphere,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,"L'atmosphère de $market est exceptionnellement toxique et corrosive, abrasant les surfaces non protégées et nécessitant la fermeture hermétique de tous les espaces habités.",graphics/icons/markets/atmosphere_toxic.png,27
Atmosphère dense,dense_atmosphere,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,"La surface de $market est enveloppée d’une atmosphère épaisse, de tourbillons turbulents à sa couronne et d’une soupe écoeurante à ses pieds les plus bas. Les capteurs sont altérés et les opérations doivent être effectuées avec précaution.",graphics/icons/markets/atmosphere_dense.png,27
,,,,,,,
,,,,,,,
Climat doux,mild_climate,TRUE,,com.fs.starfarer.api.impl.campaign.econ.MildClimate,Le climat de $market est accueillant et docile ; une légère brume accueille chaque lever de soleil avant de se retirer dans de doux nuages ​​qui brillent de manière attrayante à chaque coucher de soleil.,graphics/icons/markets/climate_mild.png,28
Conditions météorologiques extrêmes,extreme_weather,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,"De violentes tempêtes hérissées de foudre font rage dans le ciel de $market. Bien que d'une beauté sublime depuis l'orbite, cela produit des conditions de surface difficiles qui rendent le transport et l'habitation très gênants.",graphics/icons/markets/weather_extreme.png,28
,,,,,,,
Faible gravité,low_gravity,TRUE,,com.fs.starfarer.api.impl.campaign.econ.LowGravity,"La gravité est exceptionnellement faible, bien que nettement supérieure à zéro g, à la surface du marché. Le flux de travail et le fonctionnement des machines (relativement) lourdes sont compliqués par les procédures non standard requises pour faire face aux conditions modifiées de dynamique de friction, de poids et de pression.",graphics/icons/markets/gravity_low.png,24
Haute gravité,high_gravity,TRUE,,com.fs.starfarer.api.impl.campaign.econ.HighGravity,"La force de gravité à la surface du $market est extrêmement élevée. Les humains ont besoin d’exosquelettes motorisés pour se déplacer régulièrement et trouvent même les actions les plus élémentaires épuisantes. Une habitation continue est, au mieux, épuisante. Toutes les opérations se déroulent avec un risque accru de chutes et - si une ingénierie spécialisée n'est pas réalisée avec une paranoïa adéquate - d'effondrement structurel.",graphics/icons/markets/gravity_high.png,24
,,,,,,,
Irradié,irradiated,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,La surface du $market est ravagée par les radiations. Tout être vivant doit être confiné dans un habitat protégé pour vivre longtemps ici. Les circuits non durcis et les matériaux ou machines à l’échelle nanométrique tomberont également rapidement en panne dans ces conditions difficiles.,graphics/icons/markets/irradiated.png,29
,,,,,,,
,,,,,,,
Biosphère hostile,inimical_biosphere,TRUE,,com.fs.starfarer.api.impl.campaign.econ.LCAttractorLow,"La biosphère du $market est mortelle pour les êtres humains non protégés. Alors que les conditions fascinent les biologistes, les techniciens de surface sont gênés par des protocoles de quarantaine stricts lorsqu'ils effectuent des tâches de routine.",graphics/icons/markets/inimical_biosphere.png,30
,,,,,,,
Surface recouverte d'eau,water_surface,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,"Il s’agit d’un monde océanique sans surface solide substantielle sur laquelle atterrir, marcher ou construire. Les opérations sont compliquées par la nécessité d’une formation et d’équipements spécialisés.",graphics/icons/markets/water_covered.png,31
,,,,,,,
Mauvaise lumière,poor_light,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,La lumière du primaire de $market ne fournit qu'un faible éclairage et une faible énergie à ce monde.,graphics/icons/markets/poor_light.png,32
Obscurité,dark,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,"La surface de $market est sombre et pleine d’ombre, ne recevant effectivement aucun éclairage de son primaire.",graphics/icons/markets/darkness.png,32
,,,,,,,
Impacts de météores,meteor_impacts,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,"Ce monde est bombardé à un rythme effroyable par des pluies de météores régulières. Tout habitant humain, même temporaire, doit garder un œil vigilant vers le ciel. Il est préférable que toute installation permanente soit enterrée profondément et bien fortifiée.",graphics/icons/markets/meteor_impacts.png,33
,,,,,,,
,,,,,,,
Pollution,pollution,,,com.fs.starfarer.api.impl.campaign.econ.Pollution,"L’industrie humaine a quitté ce monde rempli de dioxines, de composés soufrés, de cendres et du tic-tac constant de poussières radioactives en décomposition. Des morceaux de plastique s'accrochent à des éclats de mousse métallique, le ciel étant réglé sur un canal mort.",graphics/icons/markets/pollution.png,110
,,,,,,,
,,,,,,,
Gisements de minerai clairsemés,ore_sparse,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,"Il existe ici quelques gisements de minerai clairsemés, mais ils présentent un intérêt plus académique qu'industriel car leur extraction est à peine économique.",graphics/icons/markets/ore_sparse.png,50
Gisements de minerai modérés,ore_moderate,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,"Le marché contient des gisements de minerai modérés qui, dans des conditions économiques appropriées, pourraient être exploités de manière rentable.",graphics/icons/markets/ore_moderate.png,50
Gisements de minerai abondants,ore_abundant,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,"Des gisements de minerai abondants, répandus et exploitables de manière rentable peuvent être trouvés sur le marché.",graphics/icons/markets/ore_abundant.png,50
De riches gisements de minerai,ore_rich,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,"Les riches gisements minéraux forment un épais réseau au sein de la croûte du marché, mais nécessitent un industriel ambitieux pour les exploiter et en tirer des profits fabuleux.",graphics/icons/markets/ore_rich.png,50
Gisements de minerai ultrariches,ore_ultrarich,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,"La richesse minérale existe sur le marché touché par Midas, au-delà des fantasmes les plus fous des mégacorps miniers légendaires de l'ère du Domaine.",graphics/icons/markets/ore_ultrarich.png,50
,,,,,,,
,,,,,,,
Gisements rares de minerais rares,rare_ore_sparse,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,"Il existe ici quelques rares gisements de minerai transplutonique, mais ils présentent un intérêt plus académique qu'industriel car leur extraction est à peine économique.",graphics/icons/markets/rareore_sparse.png,60
Gisements de minerais rares modérés,rare_ore_moderate,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,"$market contient de modestes gisements transplutoniques qui, avec une industrie et des investissements soutenus, pourraient être exploités de manière rentable.",graphics/icons/markets/rareore_moderate.png,60
Abondants gisements de minerais rares,rare_ore_abundant,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,"D’abondants gisements transplutoniques se trouvaient dans la croûte du marché, suffisamment pour alimenter les ambitions de tout seigneur de guerre ou magnat digne de ce nom.",graphics/icons/markets/rareore_abundant.png,60
De riches gisements de minerais rares,rare_ore_rich,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,"D'épaisses bandes de transplutoniques se répandent avec une profusion glorieuse à travers la croûte du marché, promettant un pouvoir immense et puissant à ceux qui voudraient simplement les atteindre et les prendre.",graphics/icons/markets/rareore_rich.png,60
Gisements de minerais rares ultra riches,rare_ore_ultrarich,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,Les dépôts transplutoniques scintillant avec une densité incroyable sur la grille de capteurs évoquent les présages d'une puissance qui pourrait forger de puissantes flottes de guerre pour réduire les mondes en cendres - ou une éon de splendeur et de richesse pour un régime de tours de cristal tel qu'il existait à l'époque pré- cycles d’effondrement du Domaine.,graphics/icons/markets/rareore_ultrarich.png,60
,,,,,,,
,,,,,,,
Tracer les substances volatiles,volatiles_trace,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,Les traces de substances volatiles trouvées ici justifient à peine leur récolte.,graphics/icons/markets/volatiles_trace.png,40
Volatils diffus,volatiles_diffuse,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,Des substances volatiles diffuses peuvent être trouvées ici et peuvent suffire pour une extraction industrielle.,graphics/icons/markets/volatiles_diffuse.png,40
