id,trigger,conditions,script,text,options,notes
devGatesPlayerCanUseOnSel,DialogOptionSelected,$option == devGateCanUseOn,"$global.playerCanUseGates = true
AddText ""playerCanUseGates = $global.playerCanUseGates""
FireAll PopulateGateOptions",,,
devGatesPlayerCanUseOffSel,DialogOptionSelected,$option == devGateCanUseOff,"$global.playerCanUseGates = false
AddText ""playerCanUseGates = $global.playerCanUseGates""
FireAll PopulateGateOptions",,,
devGatesExplodeSel,DialogOptionSelected,$option == devGateExplode,"GateCMD explode
$gateExploded = true 0
FireAll PopulateGateOptions",Une vague d'énergie explose depuis la Porte.,,
,,,,,,
,,,,,,
# stellar mirror and shade interactions,,,,,,
stellarMirrorOpenDialog,OpenInteractionDialog,$tag:stellar_mirror,"ShowDefaultVisual
PrintDescription 1
SetShortcut stellarMirrorLeave ""ESCAPE""",,stellarMirrorLeave:Leave,
stellarMirrorLeave,DialogOptionSelected,$option == stellarMirrorLeave,DismissDialog,,,
stellarShadeDialog,OpenInteractionDialog,$tag:stellar_shade,"ShowDefaultVisual
PrintDescription 1
SetShortcut stellarShadeLeave ""ESCAPE""",,stellarShadeLeave:Leave,
stellarShadeLeave,DialogOptionSelected,$option == stellarShadeLeave,DismissDialog,,,
,,,,,,
# Abyssal Lights,,,,,,
abyssalLightBegin,OpenInteractionDialog,$customType == abyssal_light score:1000,"ShowDefaultVisual
FireAll AbyssalLightOptions
$player.sawAbyssalLight = true","Une lumière froide remplit l’écran, contrastant avec l’obscurité totale de l’abîme de l’hyperespace. Il semble pulser, de plus en plus faible puis plus lumineux, sans suivre de schéma perceptible. Cela ne vacille pas comme une flamme, ni comme un signal de communication défaillant, mais comme... quelque chose aux confins de votre conscience. C'est...

Vous découvrez que vous êtes capable d'anticiper le rythme, plus vu qu'entendu, la lumière dansante remplissant votre vision...

Une toux polie de la part de votre officier des capteurs vous ramène au présent. ""$JoueurSirOuMadame ?""",,
abyssalLightBeginAgain,OpenInteractionDialog,"$customType == abyssal_light score:1000
$player.sawAbyssalLight","ShowDefaultVisual
AddTextSmall ""    - Use an Active Sensor Burst to increase sensor range\n    - Use an Interdiction Pulse to increase burn level\n    - Lasts for a certain number of light-years traveled\n    - Larger increase when used near the Abyssal Light"" highlight
FireAll AbyssalLightOptions","La lumière froide remplit l’écran, se dressant face à l’abîme. L’impulsion subtile de la lumière attire l’attention, mais ne promet aucune promesse de confort.

Vous secouez la tête à moitié, concentrant votre attention sur vos officiers de passerelle pour donner votre prochain ordre.",,
abyssalLight_whatOpt,AbyssalLightOptions,!$player.gotFirstAbyssalLightInfodump,,,"abyssalLight_what:""Sensors, what are we looking at?""",
abyssalLight_opsOpt,AbyssalLightOptions,"!$player.askedOpsChiefAboutAbyssalLight
$player.gotFirstAbyssalLightInfodump",,,"abyssalLight_askOps:""Ops. Is there a problem?""",
AbyssalLightLeave,AbyssalLightOptions,,,,defaultLeave:Leave,
abyssalLight_whatSel,DialogOptionSelected,$option == abyssalLight_what,,"""C'est une lumière abyssale, $playerSirOrMadam.""

Votre agent de détection se rend vite compte que cette affirmation est aussi évidente que peu éclairante.

""Et. Nous ne savons pas exactement ce que c'est... Il existe des données fragmentaires avant l'Effondrement. Certains académiciens spéculent qu'il pourrait s'agir d'une accumulation spontanée d'énergie noire, peut-être, autour d'une quasi-structure hyperspatiale temporaire, une sorte de nœud dans dimensions supérieures qui modifient les effets physiques de... quoi que ce soit.

Vous surprenez votre chef des opérations en train de faire le signe d'espacement pour « tous les sceaux sont confirmés sains et saufs », une sorte de protection contre le mal.",abyssalLight_what2:Continue,
abyssalLight_whatSel2,DialogOptionSelected,$option == abyssalLight_what2,"AddTextSmall ""    - Use an Active Sensor Burst to increase sensor range\n    - Use an Interdiction Pulse to increase burn level\n    - Lasts for a certain number of light-years traveled\n    - Larger increase when used near the Abyssal Light"" highlight
$player.gotFirstAbyssalLightInfodump = true
FireAll AbyssalLightOptions","""Ils ne sont pas connus pour être dangereux"", poursuit votre officier des capteurs en tapotant sur la console. ""Le champ de conduite devrait assurer notre sécurité.""

""Il semble être très instable. Ils le sont toujours, et ils sont difficiles à scanner correctement. Je pense que si nous essayions un scan actif ou déclenchions une impulsion d'interdiction, il s'effondrerait ; la décharge qui en résulterait pourrait nous permettre de cartographier l'hyperespace local. topographie.""",,
abyssalLightAskOps,DialogOptionSelected,$option == abyssalLight_askOps,$player.askedOpsChiefAboutAbyssalLight = true,"Votre chef des opérations, normalement imperturbable, sursaute presque.

""$PlayerSirOrMadam. Non, $playerSirOrMadam.""

Vous laissez le silence persister, faisant savoir aux opérations que le déni n’est pas une réponse suffisante.

""Capitaine."" Ops vous regarde directement. ""On dit que ce n'est pas de chance de se mêler de choses aussi profondes dans l'hyperespace."" Ops se redresse : ""Je n'ai aucune opinion technique ; je soulève ce point uniquement pour une question de moral de l'équipage. Simple superstition à quai, j'en suis sûr.""","abyssalLight_askOpsOutA:""Understood, I'll be mindful. Thank you chief.""
abyssalLight_askOpsOutB:""Such superstition has no place on my bridge, is that understood?""",
abyssalLightAskOpsOutA,DialogOptionSelected,$option == abyssalLight_askOpsOutA,"$player.ethosHumanitarian++
FireAll AbyssalLightOptions","""$PlayerSirOrMadam"", dit votre chef des opérations, puis il revient à l'écran principal, déterminé à ne rien faire de plus.",,
abyssalLightAskOpsOutB,DialogOptionSelected,$option == abyssalLight_askOpsOutB,"$player.ethosKnowledge++
FireAll AbyssalLightOptions","""Entendu, $playerSirOrMadam."" Votre chef des opérations revient à l'écran principal, déterminé à ne rien faire de plus.",,
,,,,,,
# Rogue giant planet in abyssal space; turbulence in atmosphere,,,,,,
abyssalGasGiantTurbulence,OpenInteractionDialog,"$market.isPlanetConditionMarketOnly
$abyssalGasGiantTurbulence score:100","ShowDefaultVisual
$visited = true","Votre $shipOrFleet s'approche de $entityName.

L'immense planète tourne langoureusement sous votre $shipOrFleet, plongée dans son propre sommeil cryogénique entre les étoiles lointaines de la galaxie. La compression gravitationnelle et le moindre filet de désintégration radioactive réchauffent l’intérieur bien au-dessus du milieu interstellaire, alimentant les systèmes météorologiques actifs qui se déplacent lentement sur la face froide du monde.

""$PlayerSirOrMadam, I-"" votre officier des capteurs récupère le flux en direct d'une sous-suite de capteurs. Cela attire l’attention de Tactique.

Au bout d'un moment, même vous pouvez le constater : une perturbation, une poussée de turbulence soudaine comme une douzaine d'ouragans géants se retournant.","abyssalGasGiant_turb2:""Sensors, report.""",
abyssalGasGiantTurbulence2,DialogOptionSelected,$option == abyssalGasGiant_turb2,,"""Système de tempête massive. Anomalie de chaleur soudaine, euh, relativement parlant. Une sorte de remontée d'eau"", répond votre officier des capteurs, en tirant rapidement. Vous savez qu'ils n'aiment pas ne pas avoir de réponse claire.

""Améliorer la gravimétrie. S'il y a quelque chose qui se cache sous ces nuages, cela le montrera.""

Ils tapent sur leur console, calibrant une nouvelle sous-suite du réseau de capteurs $shipOrFleet. Les minutes s'écoulent à mesure que les systèmes s'adaptent automatiquement à la planète, la précision estimée des lectures augmentant régulièrement sur l'écran partagé. La lecture s'affine, se clarifie, commence à cartographier la densité de masse de $entityName.

Dans le même temps, l’anomalie disparaît, laissant des cellules orageuses de la taille de lunes tourner dans l’atmosphère.",abyssalGasGiant_turb3:Continue,
abyssalGasGiantTurbulence3,DialogOptionSelected,$option == abyssalGasGiant_turb3,,"Les capteurs semblent de plus en plus agités, passant rapidement d’une interface à l’autre pour collecter la télémétrie.

""Capitaine, je ne peux pas en déterminer la cause. Une énorme explosion d'énergie a été libérée dans l'atmosphère, une remontée semblable à... les mesures de masse ne montrent aucune structure ou objet inattendu, naturel ou autre.""

Tactique fronce les sourcils, toujours méfiant, et dit ""Cela arrive juste au moment où $shipOrFleet arrive ? Je n'aime pas ça.""","abyssalGasGiant_turb4:""All stations at ready. Sensors, call alert if there's any change.""
100:defaultLeave:""I don't like it either. Nav, get us out of here.""",
abyssalGasGiantTurbulence4,DialogOptionSelected,$option == abyssalGasGiant_turb4,"FireBest PrintHasSurveyDataTextIfSo
FireBest OtherPlanetInteractionText
FireAll PopulateOptions
FireBest PrintNearbySurveyHostilesTextIfSo","Vos commandes sont reconnues et exécutées ; votre officier des capteurs maintient son équipe en état d'alerte et tous les autres sont prêts.

Ci-dessous, $entityName tourne avec complaisance, son côté ombre étant parfois éclairé par des éclairs alors que des courants atmosphériques titanesques se battent.",,
abyssalGasGiantTurbulenceRevisit,OpenInteractionDialog,"$market.isPlanetConditionMarketOnly
$abyssalGasGiantTurbulence score:100
$visited","ShowDefaultVisual
FireBest PrintHasSurveyDataTextIfSo
FireBest OtherPlanetInteractionText
FireAll PopulateOptions
FireBest PrintNearbySurveyHostilesTextIfSo","Votre $shipOrFleet s'approche de $entityName.

À votre retour, votre agent de détection est déterminé à ne plus être pris au dépourvu. Le réseau de capteurs est réglé sur haute intensité et la suite gravimétrique est chargée avec les données d'étalonnage précédemment collectées.

Il n'y a aucun signe de turbulence inhabituelle ; juste le rampement de bandes atmosphériques, des orages vacillant là où leurs bords se rejoignent comme des flottes en combat dans une nébuleuse lointaine.",,
,,,,,,
# Rogue planetoid in abyssal space; cleaned up mining OP,,,,,,
abyssalPlanetoidMiningOp,OpenInteractionDialog,"$market.isPlanetConditionMarketOnly
$abyssalPlanetoidMiningOp score:100","ShowDefaultVisual
$visited = true","Votre $shipOrFleet s'approche de $entityName.

Une analyse préliminaire de la surface révèle certaines incohérences dans les densités de masse attendues pour cette catégorie de planétoïdes.

Votre responsable des capteurs ordonne des balayages supplémentaires, avec une puissance et une résolution plus élevées. Une image de la situation commence à se dessiner : d'importants gisements d'éléments utiles ont été extraits et les sites de fouilles, qu'il s'agisse de gisements de surface ou de veines profondes, ont été soigneusement remis à un état se rapprochant de leur état naturel. Les puits ont été remplis, les résidus répartis uniformément et emballés sur les champs d'extraction.

Sensors consulte votre chef des opérations, qui a travaillé dans le secteur minier marginal plus tôt dans sa carrière. Les opérations semblent sombres.","abyssalPlanetoid_miningOp2:""What is it, chief?""",
abyssalPlanetoidMiningOp2,DialogOptionSelected,$option == abyssalPlanetoid_miningOp2,"FireBest PrintHasSurveyDataTextIfSo
FireBest OtherPlanetInteractionText
FireAll PopulateOptions
FireBest PrintNearbySurveyHostilesTextIfSo","""Ne regardez pas bien, $playerSirOrMadam"", dit Ops en vous tournant un visage usé.

""Oui, ça aurait pu être un mineur indépendant ou un scav. Ça aurait pu. Mais il n'y a rien - pas de travaux temporaires, pas de piliers, pas de chenilles. Ça devrait être des cellules électriques mortes et des emballages de rations éparpillés comme des étoiles dans le noir. Ce n'est pas le cas. rien.""

Ops fronce les sourcils. ""Personne ne nettoie comme ça, pas même les mineurs automatiques de Tachy. Aucun profit. Surtout pas ici.""",,
abyssalPlanetoidMiningOpRevisit,OpenInteractionDialog,"$market.isPlanetConditionMarketOnly
$abyssalPlanetoidMiningOp score:100
$visited","ShowDefaultVisual
FireBest PrintHasSurveyDataTextIfSo
FireBest OtherPlanetInteractionText
FireAll PopulateOptions
FireBest PrintNearbySurveyHostilesTextIfSo","Votre $shipOrFleet s'approche de $entityName.

Les faibles signes d'une exploitation minière massive demeurent et sont tout aussi étrangement nets qu'auparavant, aussi soignés qu'un ancien rocaille de Luddic. Les enregistrements des capteurs ne montrent aucun changement significatif depuis la dernière analyse. ",,
,,,,,,
"# Ghost ship around rogue abyssal stellar entity
""AI cores"" variation",,,,,,
GS_AI_CORES_open,OpenInteractionDialog,"$tag:salvageable
$gsType == GS_AI_CORES score:1000
!$explored","ShowDefaultVisual
PrintWreckDescription",Votre $shipOrFleet s'approche de $aOrAn $nameInText.,"GS_AI_CORES_cont1:Explore
defaultLeave:Leave",
GS_AI_CORES_cont1Sel,DialogOptionSelected,$option == GS_AI_CORES_cont1,"$explored = true
UniqueEncounter setInteractedWith $gsType","La coque extérieure est étrangement intacte, comme si elle était envoyée pour un long voyage fraîchement sortie de la forge, sans équipement ni personnalisation personnalisés.

Vos sauveteurs franchissent l'extérieur et découvrent une autre histoire : des conduits d'énergie et des tubes de liquide de refroidissement grossièrement ancrés ont été installés au hasard dans les puits et les couloirs du navire. Les portes de sécurité sont ouvertes et les trappes sont découpées pour permettre l'accès aux faisceaux de câbles en serpentin. Ce n'est pas un travail de haute qualité ; les drones de maintenance occasionnels hors tension, ces stupides objets automatiques destinés à aider les techniciens humains, suggèrent les coupables évidents.

Vos sauveteurs doivent effectuer de nombreuses coupes pour libérer l'accès aux systèmes centraux du navire. Ce n'est pas dangereux, juste gênant. C'est près du véritable point central du volume de la coque qu'ils trouvent un trio de cœurs AI, deux gammas et un bêta d'après l'apparence des boîtiers. Ils ne sont pas alimentés, le liquide de refroidissement s'est figé dans ses canalisations.",GS_AI_CORES_cont2:Continue,
GS_AI_CORES_cont2Sel,DialogOptionSelected,$option == GS_AI_CORES_cont2,$salvageLeaveText = Leave 0,"Ce qui semblait être une découverte précieuse, bien que juridiquement problématique, est cependant un échec : les noyaux de l’IA sont évidés, comme si des sphères parfaites de néant apparaissaient là où résidait autrefois la superintelligence cybernétique.

La mémoire informatique du navire lui-même n’a aucune réponse ; il a été contourné dès le départ et semble convaincu qu'il est toujours dans son berceau-forge.","salExplore:Assess the ship's salvage value
defaultLeave:Leave",
,,,,,,
"Abyssal ghost ships, ""Tri-Tachyon"" variation",,,,,,
GS_TRI_TACHYON_open,OpenInteractionDialog,"$tag:salvageable
$gsType == GS_TRI_TACHYON score:1000
!$explored","ShowDefaultVisual
PrintWreckDescription",Votre $shipOrFleet s'approche de $aOrAn $nameInText.,"GS_TRI_TACHYON_cont1:Explore
defaultLeave:Leave",
GS_TRI_TACHYON_cont1Sel,DialogOptionSelected,$option == GS_TRI_TACHYON_cont1,"$explored = true
UniqueEncounter setInteractedWith $gsType","Vos sauveteurs détectent un bouclier énergétique très faible toujours actif, malgré la perte de puissance principale. Elle fluctue étrangement, comme si elle était réglée sur une fréquence qui ne serait d'aucune utilité au combat.

Il est simple de perturber et de briser le bouclier avec un kit de sonde et de bouclier EM civil standard, et les sauveteurs le font facilement.",GS_TRI_TACHYON_cont2:Continue,
GS_TRI_TACHYON_cont2Sel,DialogOptionSelected,$option == GS_TRI_TACHYON_cont2,,"Une recherche révèle qu'il s'agit, ou plutôt qu'il s'agissait d'un navire battant pavillon Tri-Tachyon. 

L'équipage est mort. Ce qui reste du jeune cadre ayant l'autorité principale sur l'opération se trouve toujours dans sa cabine personnelle luxueusement équipée ; De tels incidents impliquant le déchargement intempestif d'un découpeur plasma de qualité technique ne sont pas inconnus dans les quais de réparation mal gérés, mais lorsqu'ils se produisent dans la suite exécutive d'un navire, des questions pointues sont soulevées.

Le dernier survivant, adapté à la défaillance apparente du système de survie, se trouve près du générateur électrique gréé par un jury qui a été raccordé à la grille de bouclier du navire. Les sécurités de la combinaison ont été annulées et son mélange atmosphérique d'oxygène réduit à zéro.

Cela aurait été un glissement indolore vers l’inconscience et, bientôt, vers la mort.",GS_TRI_TACHYON_cont3:Continue,
GS_TRI_TACHYON_cont3Sel,DialogOptionSelected,$option == GS_TRI_TACHYON_cont3,$salvageLeaveText = Leave 0,"« THEY FOLLOW » a été gratté sur la terrasse avec un outil multifonction. Une psychose à faible teneur en oxygène n’est pas rare dans des conditions aussi catastrophiques.

Ce que ce bouclier était censé empêcher d'entrer ou de sortir n'est pas clair.","salExplore:Assess the ship's salvage value
defaultLeave:Leave",
,,,,,,
"Abyssal ghost ships, ""Adventurers"" variation",,,,,,
GS_ADVENTURERS_open,OpenInteractionDialog,"$tag:salvageable
$gsType == GS_ADVENTURERS score:1000
!$explored","ShowDefaultVisual
PrintWreckDescription",Votre $shipOrFleet s'approche de $aOrAn $nameInText.,"GS_ADVENTURERS_cont1:Explore
defaultLeave:Leave",
GS_ADVENTURERS_cont1Sel,DialogOptionSelected,$option == GS_ADVENTURERS_cont1,"$explored = true
UniqueEncounter setInteractedWith $gsType","Vos sauveteurs effectuent une brèche ordonnée sous la supervision de votre chef des opérations, identifiant et désactivant plusieurs mesures défensives personnalisées.",GS_ADVENTURERS_cont2:Continue,
