name,id,tags,tech/manufacturer,rarity,base price,stack size,cargo space,baseRaidDanger,icon,sound id,sound id drop,plugin,plugin params,desc,order
Paquet de plans de chemin ludique,LP_package,package_bp,,,18000,1000,1,,graphics/icons/cargo/blueprint_basic.png,ui_chip_pickup,ui_bp_package_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,LP_bp,Une collection de hacks et de spécifications de modification après-vente qui permettent à l'industrie lourde de construire les coques les plus couramment utilisées par les membres de la Voie Luddic.,250
Paquet de plans d'église Luddic,LC_package,package_bp,,,15000,1000,1,,graphics/icons/cargo/blueprint_basic.png,ui_chip_pickup,ui_bp_package_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,LC_bp,"Une collection de hacks et de spécifications de modification après-vente qui permettent à l'industrie lourde de construire des coques portant les marquages ​​Luddic Church. Puisque les modifications sont de nature cosmétique, les coques produites sont par ailleurs impeccables.",260
Forfait Plan de groupement tactique XIV,XIV_package,"package_bp, no_drop",,,1000000,1000,1,,graphics/icons/cargo/blueprint_basic.png,ui_chip_pickup,ui_bp_package_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,XIV_bp,"Un ensemble de plans qui permettent à l'industrie lourde de produire les coques quasi-légendaires utilisées par le groupement tactique XIV, fondateur de l'Hégémonie. L'existence continue – et l'emplacement – ​​de ces plans fait l'objet de nombreuses rumeurs.",270
Paquet de plans auxiliaires d’hégémonie,heg_aux_package,package_bp,,,20000,1000,1,,graphics/icons/cargo/blueprint_basic.png,ui_chip_pickup,ui_bp_package_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,heg_aux_bp,"Une collection de plans modifiés qui mettent plusieurs vaisseaux civils aux normes militaires ou ajoutent simplement des marquages ​​d'hégémonie. Créés peu de temps après l'Effondrement, certains de ces plans améliorent les performances de la coque sans l'incidence accrue des d-mods associés aux efforts ultérieurs de piratage des plans.",280
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Plan du navire de base,ship_bp,single_bp,,,10000,1000,1,,graphics/icons/cargo/blueprint_shiphull.png,ui_chip_pickup,ui_ship_bp_drop,com.fs.starfarer.api.campaign.impl.items.ShipBlueprintItemPlugin,,Permet à l'industrie lourde de construire les coques de navires décrites par ce plan.,300
Plan d'arme de base,weapon_bp,single_bp,,,2000,1000,1,,graphics/icons/cargo/blueprint_weapons.png,ui_chip_pickup,ui_weapon_bp_drop,com.fs.starfarer.api.campaign.impl.items.WeaponBlueprintItemPlugin,,Permet à l'industrie lourde de construire les armes des navires décrites par ce plan.,310
Plan du chasseur de base,fighter_bp,single_bp,,,3000,1000,1,,graphics/icons/cargo/blueprint_fighter.png,ui_chip_pickup,ui_fighter_bp_drop,com.fs.starfarer.api.campaign.impl.items.FighterBlueprintItemPlugin,,Permet à l'industrie lourde de construire les LPC de combat décrits par ce plan.,320
,,,,,,,,,,,,,,,
Plan de l’industrie de base,industry_bp,,,,20000,1000,1,,graphics/icons/cargo/blueprint_industry.png,ui_chip_pickup,ui_industry_bp_drop,com.fs.starfarer.api.campaign.impl.items.IndustryBlueprintItemPlugin,,Contient les spécifications technologiques nécessaires pour construire une industrie ou une structure planétaire.,400
,,,,,,,,,,,,,,,
# autres éléments,,,,,,,,,,,,,,,
Appareil Janus,janus,mission_item,,,100000,1000,1,,graphics/icons/cargo/janus_device.png,ui_cargo_special_ultratech_pickup,ui_cargo_special_ultratech_drop,com.fs.starfarer.api.campaign.impl.items.JanusDevicePlugin,,"Il s'agit du Janus Device de première génération créé par Elissa Zal sur la base des théories développées par Scylla Coureuse, entre autres.

Bien qu'intégré à un hyperdrive, ce dispositif permet à une impulsion hyperonde adaptée aux signatures résonantes uniques de deux portes d'être transmise dans une ouverture de porte. Après un énorme apport d'énergie qui nécessite une grande quantité de carburant pour être généré, un lien temporaire entre ces portes est créé. Un navire ou une flotte peut alors transiter par le réseau de portes.",0
Tueur de planète,planetkiller,mission_item,,,1000000,1000,1,,graphics/icons/cargo/planetkiller.png,ui_cargo_special_military_pickup,ui_cargo_special_military_drop,com.fs.starfarer.api.campaign.impl.items.BaseSpecialItemPlugin,,"Une ogive spécialisée capable de briser un monde. Les principes de fonctionnement ne sont que vaguement compris et impliqueraient l'utilisation de la rotation du monde et d'une certaine forme de résonance.

Celui-ci est sécurisé et nécessite des codes d’autorisation, peut-être perdus depuis longtemps, pour devenir autre chose qu’une machine compliquée mais complètement inerte.",10
Données topographiques,topographic_data,,,,50000,1000,1,,graphics/icons/cargo/hyperspace_data.png,ui_chip_pickup,ui_modspec_drop,com.fs.starfarer.api.campaign.impl.items.BaseSpecialItemPlugin,,"Ce TriPad sécurisé contient une base de données récente qui contient des scans et des analyses détaillées de la topographie hyperspatiale du secteur Perséen, organisées selon les directives traditionnelles établies par le Domain Explorarium. De telles données sont un élément essentiel au succès des expéditions en dehors des mondes centraux.",500
Ancre de trou de ver,wormhole_anchor,,Domain Restricted,,150000,1000,1,,graphics/icons/cargo/wormhole_anchor.png,ui_cargo_special_industrial_pickup,ui_cargo_special_industrial_drop,com.fs.starfarer.api.campaign.impl.items.WormholeAnchorPlugin,,"Peu familière au secteur perséen contemporain, cette technologie a été utilisée par le Domain Explorarium à une époque de grandeur révolue. Peut être utilisé pour créer un terminus de trou de ver dans un emplacement stable.

L'activation initiale nécessite de l'antimatière sous forme de carburant pour vaisseau spatial. Nécessite au moins un autre terminus actif et synchronisé à utiliser.",1
Scanner de trous de ver,wormhole_scanner,mission_item,Domain Restricted,,100000,1000,1,,graphics/icons/cargo/wormhole_scanner.png,ui_cargo_special_ultratech_pickup,ui_cargo_special_ultratech_drop,com.fs.starfarer.api.campaign.impl.items.WormholeScannerPlugin,,"Un artefact de l'ère du Domaine qui permet à une flotte de naviguer dans un trou de ver naturel, en suivant ses nombreux rebondissements et déplacements à travers des dimensions supérieures. Une flotte pénétrant dans un trou de ver sans scanner ne serait plus jamais vue, du moins pas sous la forme d'un ensemble cohérent de matière baryonique.

Les principes de fonctionnement ne peuvent être que vaguement devinés compte tenu de l'état de l'art actuel du secteur Persean.",2
