id,type,text1,text2,text3,text4,notes
flak,WEAPON,"Un système d'arme défensive qui tire des obus remplis d'obus équipés d'un fusible de proximité pour un effet maximal contre les chasseurs et les missiles.

L’importance croissante des petits avions de combat bon marché, en particulier dans le rôle de frappe, a conduit à un déploiement plus large de ce système d’armes dans les jours grisants qui ont précédé l’effondrement. Tire des balles balistiques équipées d'un fusible de proximité. L'explosion qui en résulte envoie une pluie de fléchettes dans un large volume avec un rayon de destruction respectable par rapport aux cibles standard. Les modèles plus récents disposent d'un système de contrôle de tir câblé dans un Mark VI Predictor.",,,,
heavymg,WEAPON,"Cousin plus grand de la catégorie omniprésente des mitrailleuses à tir rapide, la Heavy MG est efficace contre les cibles de petite et moyenne taille.

Cheval de bataille des patrouilleurs à travers le secteur, ce système d'armes est doté d'un mécanisme de tir à retour de flamme fiable qui remonterait à l'époque de l'Ancienne Terre. Les caractéristiques de sécurité incluent une sécurité de cuisson positive pour le dégagement des boulons ouverts et une prévention du double vérin. L'arme est généralement montée sur une base relativement massive pour aider à absorber le recul lors de rafales de tir prolongées. Les calibres varient dans une fourchette modérée et les munitions sont facilement fabriquées par les forges standards. 

Les projectiles les plus lourds ne se brisent pas à l'impact comme les munitions plus légères et représentent une menace crédible pour les navires de la classe frégate. Extrêmement précis, bien que tirant plus lentement qu'un canon vulcain. Excelle dans un rôle de défense ponctuelle.",,,,
arbalest,WEAPON,"Une conception d'arme désuète avec des dégâts par tir élevés pour sa taille. Les obus cinétiques sont particulièrement efficaces contre les boucliers ennemis.

Au moment de l'Effondrement, les patrouilleurs les plus lourds étaient pour la plupart équipés de la plate-forme d'armes Arbalest Mk I ; cela explique probablement pourquoi l'Arbalest est considéré comme l'un des systèmes d'armes de navire les plus récupérés du secteur. Le système de refroidissement primitif et l'absence d'autoéjecteur entravent la cadence de tir et la fiabilité. 

La seule caractéristique qui rachète est l'omniprésence des plans pour le tir d'arbalète, qui est efficace pour abattre les boucliers ennemis. L'efficacité des obus est mal comprise et on soupçonne qu'elle réside dans les propriétés électromagnétiques involontaires des enveloppes.",,,,
dualflak,WEAPON,"Une double monture améliorée et vicieusement efficace du Flak Cannon. Surnommé « The Widowmaker » pour sa capacité à déchirer les combattants entrants.

Tout comme le canon antiaérien standard, cette arme dévaste les cibles de chasseurs et de missiles plus petites, bien qu'elle tire deux obus équipés de fusibles de proximité. La dispersion en forme assure une double détonation et un rayon de destruction plus élevé. Les avions de combat sont rarement lancés intentionnellement contre des navires équipés du Dual Flak pour des raisons évidentes. Excellente cadence de tir et taux de rotation de la tourelle.",,,,
chaingun,WEAPON,"Le GA-X Industries Mk. Le Chaingun II excelle dans les combats à courte portée, où la précision est moins importante que les dégâts globaux et le volume de tir.

L'outil préféré d'un capitaine de « mêlée », l'Assault Chaingun délivre des balles à charge creuse hautement explosives sur la cible à une vitesse effrayante. Comprend des systèmes d'alimentation et d'éjection motorisés et une unité de nano-refroidissement avancée intégrée directement dans le canon. 

Le seul inconvénient est un profil de tourelle plus lourd qui, associé à l'absence du plan de régulateur qui l'accompagne, est généralement monté sur des rotateurs incompatibles, ce qui donne lieu à des vitesses de rotation de tourelle étonnamment faibles.",,,,
heavymauler,WEAPON,"Un système d'arme avancé conçu pour percer le blindage à longue portée. A une faible cadence de tir soutenue mais des dégâts par rafale élevés.

Le mauler lourd est une arme brutale conçue pour engager des cibles à moyenne et longue portée. À la base, l’arme est un canon automatique doté d’un système de nano-refroidissement et d’un port d’éjection externe. Cependant, contrairement aux canons automatiques normaux, le mauler lourd se distingue par un chargeur de baril d'antimatière alimenté par des quantités insignifiantes de carburant de vaisseau standard.

En quittant la chambre de tir, chaque ogive de coque est chargée d'un champ d'antiprotons qui planent à 10-20 nanomètres à l'avant de la coque, stabilisé par un revêtement baryonique. Lors de l'impact avec une cible, cette « gaine » d'antiproton perd son intégrité structurelle et la réaction qui en résulte provoque des dégâts supplémentaires. Étant donné que les obus délivrent déjà une force destructrice impressionnante sur la cible, la réaction combinée rend le mauler lourd particulièrement efficace contre les cibles blindées.",,,,
heavyac,WEAPON,"Un canon à trois canons qui tire une rafale d'obus standardisés à moyenne portée. C'est le plus efficace contre les boucliers ennemis.

Canon automatique de calibre moyen à triple canon, généralement déployé avec des munitions de calibre moyen. Les fusibles à allumage électrique garantissent un décompte précis des incendies. Excellente arme d'appui-feu, elle est généralement installée sur les navires de classe destroyer et croiseur. Une batterie de canons automatiques lourds dotés d'une solution de tir appropriée peut constituer une menace sérieuse pour les vaisseaux capitaux. 

Cependant, la nécessité de masse supplémentaire pour accueillir le chargeur automatique complexe et les systèmes de refroidissement entraîne un taux de rotation très faible.",,,,
hveldriver,WEAPON,"Une arme spécialisée conçue pour surcharger et désactiver les systèmes ennemis à distance. La balle de duranium à haute vitesse est également efficace contre les boucliers.

Le pilote à hypervitesse utilise un processus en 2 étapes pour accélérer une balle de duranium dotée d'un noyau de fer-cobalt magnétisé jusqu'à une vitesse très élevée. Une charge chimique accélère d’abord la limace, puis les bobines magnétiques prennent le relais, accélérant davantage la limace et stabilisant son vol. La balle est fortement chargée au moment où elle atteint la cible, générant une quantité importante d'interférences électromagnétiques sur le navire qu'elle impacte.",,,,
heavyneedler,WEAPON,"Double monture du Light Needler avec une base plus lourde, ce système d'arme avancé est capable de submerger rapidement les projecteurs de bouclier.

Le Heavy Needler est une arme avancée qui tire de petites cartouches de fléchettes. Une amélioration par rapport au Light Needler, il est doté de meilleurs systèmes d'alimentation et de refroidissement, qui permettent une cadence de tir encore plus élevée. Les projectiles sont identiques à la version légère : des munitions sans étui, des fléchettes à gaine tungstène.",,,,
gauss,WEAPON,"Une arme à longue portée conçue pour surcharger les boucliers de la cible. La lourde balle cinétique qu'il tire est également efficace contre toutes les armures, sauf les plus lourdes.

Utilise des bobines magnétiques pour accélérer une grosse limace composite ultra-dense à des vitesses relativistes. Généralement évalué à des centaines de giga-ampères, dépassant rarement un téra-ampère. Et contrairement à la plupart des armes balistiques, elle a une charge de flux très élevée lors du tir. Les tourelles montées avec ce système ont un taux de rotation extrêmement faible. 

Arme très efficace dont l'utilité est limitée par la faible puissance du réacteur des navires qui sont généralement équipés de grands supports d'armes balistiques. ",,,,
hephag,WEAPON,"Un canon à moyenne portée conçu pour percer les armures lourdes. Les dégâts bruts infligés lui permettent également de submerger les émetteurs de bouclier les plus faibles.

Une plate-forme d'armes vraiment dévastatrice, du nom d'un ancien dieu de la Terre associé aux volcans. Un support de tourelle typique comprend deux canons L/89 qui échangent le tir d'obus destructeurs de blindage à une cadence de tir élevée. Un éjecteur électromagnétique, un système d'alimentation motorisé et des nanoréfrigérants permettent à l'arme de tirer pendant des périodes prolongées. Les obus à charge creuse ont une faible vitesse initiale et un grand pouvoir de pénétration du blindage. ",,,,
mark9,WEAPON,"Un imposant canon automatique à moyenne portée, plus efficace contre les boucliers. Efface également les coques non blindées avec un grand volume de projectiles de gros calibre.

On sait que les navires de guerre des débuts du Domaine manquaient des niveaux contemporains de protection blindée. Une arme portant un nom comme le canon automatique Mark IX était probablement un perfectionnement des premières écoles d'ingénierie d'armes du Domaine. Deux canons combinés à un système unique à double chargeur constituent le cœur du système d'arme.

Les plans Mark IX ont été redécouverts pour la première fois dans le secteur à partir d'une épave à la dérive capturée dans le puits gravitationnel de l'Étoile de Pénélope. Après un examen hâtif par un évaluateur non qualifié, la conception a été déclarée obsolète. Le plan a été vendu aux enchères à une petite organisation de mercenaires connue sous le nom de Free Star Combine, une filiale militante du Ko Combine, et oublié. 

Quelques cycles plus tard, le Free Star Combine a finalement construit un prototype et a commencé les essais d'armes. L'arme était jugée trop énorme, difficile à monter dans tous les vaisseaux sauf les plus gros, au mieux médiocre contre des cibles blindées, et sa portée était tout sauf extraordinaire. Néanmoins, le Mark IX a obstinément refusé de se laisser expliquer par les théoriciens, car ses dégâts bruts sont impressionnants. Ces opposants ont été encore plus apaisés lorsque des essais secondaires ont montré à quel point le Mark IX est complètement dévastateur pour protéger les générateurs.

Les résultats de ces essais ne restèrent pas secrets longtemps, et la disponibilité des plans désormais courants signifiait que le Mark IX fut rapidement fabriqué pour répondre à la demande du secteur.",,,,
mjolnir,WEAPON,"Un canon à moyenne portée qui inflige des dégâts supérieurs dans le temps et possède également une charge utile EMP importante.

De conception très avancée, le Mjolnir est techniquement un projecteur d'obus magnéto-gravitique, et non un canon standard. Les microcondensateurs de chaque coque sont capables de fournir suffisamment d’énergie pour créer une singularité localisée à petite échelle. La lentille gravitique intégrée dévaste toute la matière à proximité et crée le redoutable effet d'impulsion électromagnétique (EMP), désactivant les armes et les systèmes de la cible. ",,,,
multineedler,WEAPON,"Tire une multitude de projectiles cinétiques dans un arc serré, créant une pluie de projectiles qui submerge facilement la plupart des projecteurs de bouclier.

Le Storm Needler est une arme à fléchettes qui tire des munitions de petit calibre sans étui. Ayant atteint les limites pratiques des systèmes de refroidissement de taille moyenne, les concepteurs d'armes sans étui ont ouvert la voie dans la catégorie des armes de grande taille avec les nanorecycleurs avancés de liquide de refroidissement du Storm Needler, les rayures magnétisées par baril et le fonctionnement automatisé. Un chargeur automatique intelligent déballe et charge juste la bonne quantité de munitions des chargeurs, permettant un fonctionnement prolongé à condition d'avoir une capacité de flux adéquate.",,,,
hellbore,WEAPON,"Un énorme canon qui tire des projectiles lents chargés de plasma. Les obus sont très efficaces contre les blindés et effacent toute structure de coque laissée en dessous.

Une plate-forme d'armes redoutée, rarement déployée en raison de la complexité impliquée dans la fabrication d'un canon intégré capable de tirer en toute sécurité d'énormes obus à charge creuse hautement explosive. Lorsqu'un tel obus touche une cible, l'effet Neumann amène l'ogive à propulser un jet de métal en fusion dans le blindage de la cible, vaporisant une petite zone, provoquant des brèches dans la coque, une dépressurisation et d'importants dégâts internes dus à l'éclat.",,,,
reaper,WEAPON,"Une seule torpille non guidée au rendement dévastateur avec un puissant moteur embarqué.

L'arme de frappe par excellence, une seule torpille Reaper est un grand système de lancement automoteur, blindé et non guidé pour une ogive nucléaire enrichie catalysée par AM. La science derrière ce détonateur étonnamment compact est mal comprise dans le Secteur, même si de nombreuses spéculations laissent penser qu'elle est basée sur une physique classée secrète par les autorités du Domaine. Ce que l’on sait, c’est que trois ou quatre d’entre eux traversant les arcs PD suffisent à détruire même le plus gros vaisseau capital.",,,,
atropos,WEAPON,"Un rack de torpilles guidées avancées. La charge utile est plus petite que d'habitude pour laisser de la place au système de guidage avancé et à la masse de réaction du système de manœuvre.

La torpille Atropos est une grande torpille guidée avec une portée étendue. Chaque rack accueille deux torpilles qui peuvent être tirées séparément, permettant aux capitaines d'attaque une flexibilité maximale. L’ogive nucléaire catalysée par AM, généralement utilisée dans les ogives de torpilles, est absente ici, car l’interférence baryonique du détonateur entraverait les systèmes de guidage. Elle est remplacée par une charge chimique plus petite mais toujours puissante.",,,,
atropos_single,WEAPON,"Une seule torpille avancée et guidée. La charge utile est plus petite que d'habitude pour laisser de la place au système de guidage avancé et à la masse de réaction du système de manœuvre.

La torpille Atropos est une grande torpille guidée avec une portée étendue. L’ogive nucléaire catalysée par AM, généralement utilisée dans les ogives de torpilles, est absente ici, car l’interférence baryonique du détonateur entraverait les systèmes de guidage. Elle est remplacée par une charge chimique plus petite mais toujours puissante.

Cette monture ne comporte qu'une seule torpille.",,,,
swarmer,WEAPON,"Un lanceur de missiles guidés à courte portée. Les missiles sont conçus pour intercepter des cibles agiles et sont principalement efficaces contre les petites embarcations telles que les frégates et les chasseurs.

Lance des rafales de petits missiles. Un simple système infrarouge assure un suivi efficace tandis que des micropropulseurs chimiques offrent une maniabilité exceptionnelle. Des algorithmes de ciblage évolutifs, perfectionnés au fil des siècles d'application dans le monde réel, permettent aux missiles de diriger leur cible - ils manquent rarement et sont très difficiles à éviter.",,,,
swarmer_fighter,WEAPON,Un lanceur de missiles guidés à courte portée. Les missiles sont conçus pour intercepter et détruire les combattants ennemis.,,,,
annihilator,WEAPON,"Tire une série de roquettes non guidées qui couvrent un large arc. Généralement utilisé pour retirer l'armure ennemie une fois les boucliers abaissés.

Roquettes à moyenne et longue portée lancées à partir d'une petite nacelle qui tire cinq missiles par salve dans une zone étroite pour améliorer les chances de toucher. Les roquettes sont petites et non guidées, l'espace supplémentaire étant occupé par une ogive plus grande et des systèmes de propulsion améliorés, ainsi qu'un blindage plus épais. 

Fonctionne bien contre des cibles plus grandes en raison des chances plus élevées de frapper avec plusieurs roquettes. Une attaque à la roquette est souvent utilisée comme écran avant une frappe de torpille pour réduire l'efficacité des systèmes de défense ponctuelle. Prend plusieurs secondes pour recharger après une salve.",,,,
annihilator_fighter,WEAPON,Tire une salve de roquettes non guidées. Généralement utilisé pour retirer l'armure ennemie une fois les boucliers abaissés.,,,,
annihilatorpod,WEAPON,"Tire un flot de roquettes non guidées. Utile pour faire face au blindage ennemi ou - en raison de l'absence de coût de flux - pour appliquer une pression soutenue.

Comprend les mêmes fusées à moyenne et longue portée que celles des lanceurs plus petits. Les roquettes ne sont pas guidées, l'espace supplémentaire étant occupé par une ogive plus grande et des systèmes de propulsion améliorés, ainsi qu'un blindage plus épais. 

Fonctionne bien contre des cibles plus grandes en raison des chances plus élevées de frapper avec plusieurs roquettes. Une attaque à la roquette est souvent utilisée comme écran avant une frappe de torpille pour réduire l'efficacité des systèmes de défense ponctuelle. ",,,,
heatseeker,WEAPON,"Se concentre sur les moteurs de la cible et les désactive avec une puissante rafale EMP. Un système de chargement automatique adapté au combat garantit son utilité dans les engagements prolongés.

Le missile Salamander est une arme spécialisée avec deux considérations de conception. Le premier est un mécanisme de suivi/ciblage extrêmement avancé qui lui permet de cibler les moteurs ennemis, tout en évitant tous les autres points d'impact potentiels et menaces de défense ponctuelle. 

La seconde est une ogive spéciale qui, au lieu de tenter de détruire la cible avec une force cinétique ou explosive, génère des champs électromagnétiques ciblés de grande ampleur. Lorsqu'un tel champ est créé à proximité de moteurs et de composants de coque non protégés, il détruit rapidement tous leurs composants électroniques, les rendant inutiles jusqu'à ce qu'ils soient réparés.",,,,
salamanderpod,WEAPON,"Se concentre sur les moteurs de la cible et les désactive avec une puissante rafale EMP. Un système de chargement automatique adapté au combat garantit son utilité dans les engagements prolongés.

Un module monté à l'extérieur remplace les supports de missiles les plus courants et permet de tirer deux missiles presque simultanément. Un chargeur automatique extrait, arme et amorce la prochaine salve de deux missiles après une courte attente.

Le missile Salamander est une arme spécialisée avec deux considérations de conception. Le premier est un mécanisme de suivi/ciblage extrêmement avancé qui lui permet de cibler les moteurs ennemis, tout en évitant tous les autres points d'impact potentiels et menaces de défense ponctuelle. 

La seconde est une ogive spéciale qui, au lieu de tenter de détruire la cible avec une force cinétique ou explosive, génère des champs électromagnétiques ciblés de grande ampleur. Lorsqu'un tel champ est créé à proximité de moteurs et de composants de coque non protégés, il détruit rapidement tous leurs composants électroniques, les rendant inutiles jusqu'à ce qu'ils soient réparés.",,,,
harpoon,WEAPON,"Support de missiles guidés à moyenne portée et à charge utile élevée. Dévastateur contre les navires dont les boucliers sont abattus.

Missiles à moyenne portée à trois racks. Un excellent système de propulsion envoie une grosse ogive vers la cible à des vitesses inférieures à la lumière. Sacrifiant la maniabilité au profit de la vitesse et de la taille de l'ogive, le missile à moyenne portée est l'une des armes non-frappantes les plus puissantes utilisées dans le secteur. Un seul coup est presque mortel pour les navires de la taille d'une frégate.

Ce système d'arme comprend un support de tir contenant plusieurs missiles.",,,,
harpoonpod,WEAPON,"Nacelle de missile guidé à moyenne portée et à charge utile élevée. Dévastateur contre les navires dont les boucliers sont abattus.

Un module monté à l'extérieur remplace les supports de missiles les plus courants et permet de tirer plusieurs missiles presque simultanément. Un chargeur automatique extrait, arme et amorce la prochaine salve de missiles après une courte attente.

Ces missiles à moyenne portée sont identiques à ceux tirés depuis des râteliers simples ou triples et constituent un excellent moyen d'achever un navire dont les boucliers sont abattus. Un excellent système de propulsion envoie une grosse ogive vers la cible à des vitesses inférieures à la lumière. Sacrifiant la maniabilité au profit de la vitesse et de la taille de l'ogive, le missile à moyenne portée est l'une des armes non-frappantes les plus performantes utilisées dans le secteur. Un seul coup est presque mortel pour les navires de la taille d'une frégate.
",,,,
harpoon_single,WEAPON,"Missile guidé à moyenne portée et à charge utile élevée. Dévastateur contre les navires dont les boucliers sont abattus.

Un excellent système de propulsion envoie une grosse ogive vers la cible à des vitesses inférieures à la lumière. Sacrifiant la maniabilité au profit de la vitesse et de la taille de l'ogive, le missile à moyenne portée est l'une des armes non-frappantes les plus performantes utilisées dans le secteur. Un seul coup est presque mortel pour les navires de la taille d'une frégate.

Cette monture ne peut lancer qu'un seul missile à la fois et transporte un seul missile de remplacement dans un chargeur de combat encastré dans la coque.",,,,
sabot,WEAPON,"Tire une deuxième étape de pénétrateurs cinétiques à haute vitesse lorsqu'elle est à portée. Dégâts importants aux boucliers et dégâts EMP massifs lors de l'impact sur la coque ou le blindage ennemi. Difficile d'arrêter avec PD.

Les missiles de classe Sabot sont des armes KE à courte portée et à deux étages. Un premier étage de missile guidé projette un ensemble secondaire à portée de frappe d'une cible protégée. L'ordinateur de ciblage embarqué allume ensuite le propulseur d'un pénétrateur KE. Ce « sabot », comme on l'appelle communément, est généralement un projectile étroit, stabilisé latéralement, fabriqué à partir d'un matériau ultra dense tel que l'uranium appauvri.

Excellent pour abattre les boucliers ennemis et provoquer une surcharge. Le blindage standard du navire est espacé et le sabot inflige donc des dégâts plus gérables si les boucliers sont abaissés à temps pour recevoir l'impact sur le blindage.

Ce système d'arme comprend un support de tir contenant plusieurs missiles.",,,,
sabotpod,WEAPON,"Tire une deuxième étape de pénétrateurs cinétiques à haute vitesse lorsqu'elle est à portée. Dégâts importants aux boucliers et dégâts EMP massifs lors de l'impact sur la coque ou le blindage ennemi. Difficile d'arrêter avec PD.

Le pod remplace les supports de missiles les plus courants et permet de tirer plusieurs missiles presque simultanément. Un chargeur automatique extrait, arme et amorce la prochaine salve de missiles après un court délai.

Les missiles de classe Sabot sont des armes KE à courte portée et à deux étages. Un premier étage de missile guidé projette un ensemble secondaire à portée de frappe d'une cible protégée. L'ordinateur de ciblage embarqué allume ensuite le propulseur d'un pénétrateur KE. Ce « sabot », comme on l'appelle communément, est généralement un projectile étroit, stabilisé latéralement, fabriqué à partir d'un matériau ultra dense tel que l'uranium appauvri.

Excellent pour abattre les boucliers ennemis et provoquer une surcharge. Le blindage standard du navire est espacé et le sabot inflige donc des dégâts plus gérables si les boucliers sont abaissés à temps pour recevoir l'impact sur le blindage.

Ce système d'arme comprend un support de tir contenant plusieurs missiles.",,,,
sabot_single,WEAPON,"Tire une deuxième étape de pénétrateurs cinétiques à haute vitesse lorsqu'elle est à portée. Dégâts importants aux boucliers et dégâts EMP massifs lors de l'impact sur la coque ou le blindage ennemi. Difficile d'arrêter avec PD.

Les missiles de classe Sabot sont des armes KE à courte portée et à deux étages. Un premier étage de missile guidé projette un ensemble secondaire à portée de frappe d'une cible protégée. L'ordinateur de ciblage embarqué allume ensuite le propulseur d'un pénétrateur KE. Ce « sabot », comme on l'appelle communément, est généralement un projectile étroit, stabilisé latéralement, fabriqué à partir d'un matériau ultra dense tel que l'uranium appauvri.

Excellent pour abattre les boucliers ennemis et provoquer une surcharge. Le blindage standard du navire est espacé et le sabot inflige donc des dégâts plus gérables si les boucliers sont abaissés à temps pour recevoir l'impact sur le blindage.

Cette monture ne peut lancer qu'un seul missile à la fois et transporte un seul missile de remplacement dans un chargeur de combat encastré dans la coque.",,,,
